w,vector_uso
anyone,[],The Ship Who Sang
appreciation,"[0, 4, 7, 0, 17, 0, 1]",The Ship Who Sang
gentleman,"[1, 6, 0, 173, 0]",The Ship Who Sang
overcome,"[0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 0, 9, 0, 0]",The Ship Who Sang
instantly,"[12, 12, 1, 0, 3, 0, 0, 129, 0, 0, 2, 0, 0]",The Ship Who Sang
Candide,[],The Ship Who Sang
often,"[0, 1, 0, 0, 111, 47, 3]",The Ship Who Sang
relaxing,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 2, 0, 9, 2]",The Ship Who Sang
pay,"[0, 6, 3, 0, 6, 5, 0, 5, 51, 0, 19, 0, 0, 1]",The Ship Who Sang
patterns,"[6, 39, 8, 13, 18, 3, 24, 8, 0, 0, 0, 22, 8, 2, 0, 0]",The Ship Who Sang
rewarding,"[3, 0, 0, 1, 2, 0, 0]",The Ship Who Sang
will,"[0, 0, 0, 218, 32]",The Ship Who Sang
interest,"[1, 0, 0, 2, 1, 0, 3, 5, 2, 8, 0, 33]",The Ship Who Sang
We,[],The Ship Who Sang
dear,"[0, 0, 49, 0, 1, 0, 8, 0, 0, 0, 1, 0, 0, 2, 3, 23, 134, 1]",The Ship Who Sang
space,"[2, 72, 2, 0, 16, 43, 0, 0]",The Ship Who Sang
contributes,"[1, 1, 9, 20, 18, 4, 0, 0, 0, 51, 1, 0]",The Ship Who Sang
absorbed,"[0, 0, 9, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 4, 1]",The Ship Who Sang
stand,"[0, 0, 0, 3, 3, 1, 0, 0, 0, 1, 13, 2, 0, 0, 5, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 19, 0]",The Ship Who Sang
instrumental,"[0, 0, 2]",The Ship Who Sang
able,"[7, 29, 0]",The Ship Who Sang
Farrell,"[0, 0, 1]",The Ship Who Sang
experimental,"[0, 0, 10]",The Ship Who Sang
mobile,"[1, 0, 0, 0, 0, 2, 0, 0]",The Ship Who Sang
faulty,"[0, 19, 0, 1]",The Ship Who Sang
